Nattos,1.0000
Starlight,1.0000
The Mad Oak,1.0000
Interlude,1.0000
The Amber Cuisine,1.0000
The River Blossom,1.0000
Fluorescence,1.0000
Midnight,1.0000
Harvest,1.0000
Tranquility,1.0000
Mamoun's,0.7849
China Palace,0.6848
Vietnam Restaurant,0.6556
Fargo,0.6458
Wolfs,0.6421
Fangs,0.6129
Siam Cusine,0.6129
Hofbrau Deluxe,0.5938
Molinarinari,0.5918
Irifune Place,0.5895
Estradanas,0.5895
Ranch House,0.5773
Jean's Place,0.5684
The Court Bites,0.5521
Aroma,0.5484
The Hot Oak,0.5263
A Cut Above,0.5217
The Indian Smith,0.5158
The Noodle Fiddler,0.5000
Trilogy,0.4091
The Crimson Horse,0.4000
The Sugar Badger,0.3889
The Cool Pizzeria,0.3846
The Depot,0.3763
The Magical Spices,0.3636
The Olive Port,0.3617
The Crown,0.3438
The Amber Lion,0.2755
The Caviar Salmon,0.2418
Chance,0.2043
Bambino,0.1935
Burgers and Fries,0.1538
Bistro Bob,0.1263
Chops and Ribs,0.0978
The Mockingbird,0.0761
Sapphire,0.0588
Wiener House,0.0562
The Caramel Hog,0.0521
Big Daddy Barbeque,0.0455
Mary's Diner,0.0215
